,Id_matr,Date,Open,High,Low,Close,Adj Close,Volume,Daily Return,Volatility
0,0,2000-01-03,157.24000549316406,157.24000549316406,157.24000549316406,157.24000549316406,157.24000549316406,0,,
1,1,2000-01-04,154.75,154.75,154.75,154.75,154.75,0,-0.01583569960681741,
2,2,2000-01-05,160.8800048828125,160.8800048828125,160.8800048828125,160.8800048828125,160.8800048828125,0,0.03961230942043614,
3,3,2000-01-06,165.60000610351562,165.60000610351562,165.60000610351562,165.60000610351562,165.60000610351562,0,0.02933864419099974,
4,4,2000-01-07,166.97000122070312,166.97000122070312,166.97000122070312,166.97000122070312,166.97000122070312,0,0.008272917069406027,
5,5,2000-01-10,164.52000427246094,164.52000427246094,164.52000427246094,164.52000427246094,164.52000427246094,0,-0.014673276219263731,
6,6,2000-01-11,162.07000732421875,162.07000732421875,162.07000732421875,162.07000732421875,162.07000732421875,0,-0.014891787531106315,
7,7,2000-01-12,161.35000610351562,161.35000610351562,161.35000610351562,161.35000610351562,161.35000610351562,0,-0.004442532166132218,
8,8,2000-01-13,161.0,161.0,161.0,161.0,161.0,0,-0.002169235142706283,
9,9,2000-01-14,160.3300018310547,160.3300018310547,160.3300018310547,160.3300018310547,160.3300018310547,0,-0.004161479310219374,
10,10,2000-01-18,155.75,155.75,155.75,155.75,155.75,0,-0.02856609354923345,
11,11,2000-01-19,154.30999755859375,154.30999755859375,154.30999755859375,154.30999755859375,154.30999755859375,0,-0.009245601549959903,
12,12,2000-01-20,150.3800048828125,150.3800048828125,150.3800048828125,150.3800048828125,150.3800048828125,0,-0.025468166275415705,
13,13,2000-01-21,149.0,149.0,149.0,149.0,149.0,0,-0.009176784399547722,
14,14,2000-01-24,146.27999877929688,146.27999877929688,146.27999877929688,146.27999877929688,146.27999877929688,0,-0.018255041749685397,
15,15,2000-01-25,143.47999572753906,143.47999572753906,143.47999572753906,143.47999572753906,143.47999572753906,0,-0.019141393732046597,
16,16,2000-01-26,143.74000549316406,143.74000549316406,143.74000549316406,143.74000549316406,143.74000549316406,0,0.001812167363865358,
17,17,2000-01-27,144.00999450683594,144.00999450683594,144.00999450683594,144.00999450683594,144.00999450683594,0,0.001878315036552003,
18,18,2000-01-28,141.69000244140625,141.69000244140625,141.69000244140625,141.69000244140625,141.69000244140625,0,-0.016109937878787672,
19,19,2000-01-31,141.05999755859375,141.05999755859375,141.05999755859375,141.05999755859375,141.05999755859375,0,-0.004446360872024324,
20,20,2000-02-01,143.5500030517578,143.5500030517578,143.5500030517578,143.5500030517578,143.5500030517578,0,0.01765210219948976,
21,21,2000-02-02,143.6199951171875,143.6199951171875,143.6199951171875,143.6199951171875,143.6199951171875,0,0.00048757968611434777,
22,22,2000-02-03,142.47000122070312,142.47000122070312,142.47000122070312,142.47000122070312,142.47000122070312,0,-0.008007199105848906,
23,23,2000-02-04,141.9499969482422,141.9499969482422,141.9499969482422,141.9499969482422,141.9499969482422,0,-0.003649921162388381,
24,24,2000-02-07,139.39999389648438,139.39999389648438,139.39999389648438,139.39999389648438,139.39999389648438,0,-0.017964093741316467,
25,25,2000-02-08,137.89999389648438,137.89999389648438,137.89999389648438,137.89999389648438,137.89999389648438,0,-0.010760402192799723,
26,26,2000-02-09,136.0,136.0,136.0,136.0,136.0,0,-0.013778056421892337,
27,27,2000-02-10,134.7899932861328,134.7899932861328,134.7899932861328,134.7899932861328,134.7899932861328,0,-0.008897108190199954,
28,28,2000-02-11,132.2100067138672,132.2100067138672,132.2100067138672,132.2100067138672,132.2100067138672,0,-0.01914078715612677,
29,29,2000-02-14,133.80999755859375,133.80999755859375,133.80999755859375,133.80999755859375,133.80999755859375,0,0.012101889142092759,
30,30,2000-02-15,138.3800048828125,138.3800048828125,138.3800048828125,138.3800048828125,138.3800048828125,0,0.03415295872954194,
31,31,2000-02-16,136.4600067138672,136.4600067138672,136.4600067138672,136.4600067138672,136.4600067138672,0,-0.013874823682592519,
32,32,2000-02-17,135.74000549316406,135.74000549316406,135.74000549316406,135.74000549316406,135.74000549316406,0,-0.005276280120759758,
33,33,2000-02-18,132.0399932861328,132.0399932861328,132.0399932861328,132.0399932861328,132.0399932861328,0,-0.027258082048755905,
34,34,2000-02-22,135.88999938964844,135.88999938964844,135.88999938964844,135.88999938964844,135.88999938964844,0,0.029157878667659398,
35,35,2000-02-23,133.1199951171875,133.1199951171875,133.1199951171875,133.1199951171875,133.1199951171875,0,-0.02038416575835189,
36,36,2000-02-24,129.64999389648438,129.64999389648438,129.64999389648438,129.64999389648438,129.64999389648438,0,-0.026066716856836036,
37,37,2000-02-25,127.37000274658205,127.37000274658205,127.37000274658205,127.37000274658205,127.37000274658205,0,-0.017585740510892234,
38,38,2000-02-28,128.00999450683594,128.00999450683594,128.00999450683594,128.00999450683594,128.00999450683594,0,0.00502466629860443,
39,39,2000-02-29,127.19000244140624,127.19000244140624,127.19000244140624,127.19000244140624,127.19000244140624,0,-0.006405687841709251,
40,40,2000-03-01,124.83000183105467,124.83000183105467,124.83000183105467,124.83000183105467,124.83000183105467,0,-0.018554922282030484,
41,41,2000-03-02,121.8000030517578,121.8000030517578,121.8000030517578,121.8000030517578,121.8000030517578,0,-0.02427300116039155,
42,42,2000-03-03,127.0,127.0,127.0,127.0,127.0,0,0.042692913119489084,
43,43,2000-03-06,123.69000244140624,123.69000244140624,123.69000244140624,123.69000244140624,123.69000244140624,0,-0.026062972902313075,
44,44,2000-03-07,119.0199966430664,119.0199966430664,119.0199966430664,119.0199966430664,119.0199966430664,0,-0.037755725654157746,
45,45,2000-03-08,121.5500030517578,121.5500030517578,121.5500030517578,121.5500030517578,121.5500030517578,0,0.021256986053181715,
