,Id_inft,Date,Open,High,Low,Close,Adj Close,Volume,Daily Return,Volatility
312,312,2001-03-29,351.42999267578125,351.42999267578125,351.42999267578125,351.42999267578125,351.4130249023437,0,-0.02494317856118622,0.5660858842289473
313,313,2001-03-30,353.1000061035156,353.1000061035156,353.1000061035156,353.1000061035156,353.0829162597656,0,0.004752051511081712,0.5655491955627006
314,314,2001-04-02,343.239990234375,343.239990234375,343.239990234375,343.239990234375,343.223388671875,0,-0.027924145280954882,0.5652682370323581
315,315,2001-04-03,320.8500061035156,320.8500061035156,320.8500061035156,320.8500061035156,320.83447265625,0,-0.06523128064294259,0.5695314277598459
316,316,2001-04-04,313.94000244140625,313.94000244140625,313.94000244140625,313.94000244140625,313.9248352050781,0,-0.021536554560263932,0.5693685179957475
317,317,2001-04-05,347.8399963378906,347.8399963378906,347.8399963378906,347.8399963378906,347.8231811523437,0,0.10798239674095522,0.5844937274539694
318,318,2001-04-06,330.3699951171875,330.3699951171875,330.3699951171875,330.3699951171875,330.35400390625,0,-0.05022424506850798,0.5862686432443164
319,319,2001-04-09,331.3900146484375,331.3900146484375,331.3900146484375,331.3900146484375,331.3740234375,0,0.0030875065724058626,0.5857945518329909
320,320,2001-04-10,355.75,355.75,355.75,355.75,355.7327880859375,0,0.07350850742260695,0.5925939944170816
321,321,2001-04-11,368.3599853515625,368.3599853515625,368.3599853515625,368.3599853515625,368.3421936035156,0,0.03544619916110325,0.5938525817175884
322,322,2001-04-12,381.2099914550781,381.2099914550781,381.2099914550781,381.2099914550781,381.1915588378906,0,0.034884370220754635,0.595470378302745
323,323,2001-04-16,368.510009765625,368.510009765625,368.510009765625,368.510009765625,368.4921875,0,-0.03331492346508891,0.5959095537049577
324,324,2001-04-17,371.55999755859375,371.55999755859375,371.55999755859375,371.55999755859375,371.5420227050781,0,0.008276539882617007,0.5946699360497949
325,325,2001-04-18,409.3500061035156,409.3500061035156,409.3500061035156,409.3500061035156,409.3302307128906,0,0.1017063429681031,0.6066299764387693
326,326,2001-04-19,438.9100036621094,438.9100036621094,438.9100036621094,438.9100036621094,438.8887939453125,0,0.07221203644276653,0.6127384431115203
327,327,2001-04-20,437.7999877929688,437.7999877929688,437.7999877929688,437.7999877929688,437.77880859375,0,-0.0025290284110158767,0.6127051973913867
328,328,2001-04-23,412.1199951171875,412.1199951171875,412.1199951171875,412.1199951171875,412.1000671386719,0,-0.0586569058743901,0.615478255873669
329,329,2001-04-24,400.9200134277344,400.9200134277344,400.9200134277344,400.9200134277344,400.900634765625,0,-0.02717650641112035,0.6161198563809503
330,330,2001-04-25,406.0400085449219,406.0400085449219,406.0400085449219,406.0400085449219,406.0203857421875,0,0.012770614949882964,0.6156895460842833
331,331,2001-04-26,396.9700012207031,396.9700012207031,396.9700012207031,396.9700012207031,396.9508056640625,0,-0.02233771828722464,0.6160462300996693
332,332,2001-04-27,406.80999755859375,406.80999755859375,406.80999755859375,406.80999755859375,406.7903137207031,0,0.024787758036204588,0.6168665004943076
333,333,2001-04-30,412.8500061035156,412.8500061035156,412.8500061035156,412.8500061035156,412.8300476074219,0,0.014847247071532177,0.6168080635933391
334,334,2001-05-01,424.4500122070313,424.4500122070313,424.4500122070313,424.4500122070313,424.4295043945313,0,0.028097386295319993,0.6178511950015045
